hindi,phon
इकलौता, i k l O t aa
इकल्ला, i k a l l aa
इकसठ, i k s a tth
इकहत्तर, i k  h a t t a r
इकहरा, i k a h r aa
-इका, - i k aa
इकाई, i k aa ii
इकादसी, i k aa d a s ii
इकानवे, i k aa n v e
इकावन, i k aa v a n
इकासी, i k aa s ii
-इकी, - i k ii
इकौंज, i k O n j
इकौना, i k O n aa
इक्कस, i k k a s
इक्का, i k k aa
इक्कीस, i k k ii s
इक्यानवे, i k y aa n v e
इक्यावन, i k y aa v a n
इक्यासी, i k y aa s ii
इक्षु, i k sh u
इख़लाक़, i x l aa q
इख़लाक़ी, i x l aa q ii
इख़लास, i x l aa s
इख़वान, i x v aa n
इख्त़ियार, i x t i y aa r
इख्त़ियारी, i x t i y aa r ii
इख्त़िलाफ़, i x t i l aa f
इगर-दिगर, i g a r - d i g a r
इगारह, i g aa r a h
इच्छा, i c ch aa
इच्छित, i c ch i t
इच्छुक, i c ch u k
इज़तिराब, i z t i r aa b
इजरा, i j r aa
इजरा, i j r aa
इजरान, i j r aa n
इजलास, i j l aa s
इज़हार, i z h aa r
इज़हार, i z h aa r
इजाज़त, i j aa z a t
इजा़फ़त, i z aa f a t
इजा़फ़ा, i z aa f aa
इजा़र, i z aa r
इजार, i j aa r aa
इज़्ज़त, i z z a t
इठलाना, i tth l aa n aa
इडली, i dd l ii
इड़ा, i rr aa
इत, i t
-इत, - i t
इतक, i t a k
इतना, i t n aa
इतबार, i t b aa r
इतमाम, i t m aa m
इतमीनान, i t m ii n aa n
इतमीनानी, i t m ii n aa n ii
इतर, i t a r
इतराना, i t r aa n aa
इतवार, i t v aa r
इताअत, i t aa a t
इतस्ततः, i t a s t a t a h
इति, i t i
इतिहास, i t i - h aa s
इतेक, i t e k
इतै, i t E
इतौ, i t O
इत्तफा़क़, i t t a f aa q
इत्तफा़क़न, i t t a f aa q a n
इत्तफा़क़िया, i t t a f aa q i y aa
इत्तफा़क़ी, i t t a f aa q ii
इत्तला, i t t a l aa
इत्तलाई, i t t a l aa ii
इत्तहाद, i t t a h aa d
इत्ता, i t t aa
इत्तिफा़क़, i t t i f aa q
इत्तिला, i t t i l aa
इत्यादि, i t y - aa d i
इत्र, i t r
इदमित्थं, i d a m i t th a ~
इदर, i d a r
इधर, i dh a r
इन, i n
-इन, - i n
इनक़लाब, i n q a l aa b
इनकार, i n k aa r
इनकारी, i n k aa r ii
इनक़िलाब, i n q i l aa b
इनफ़िसाल, i n f i s aa l
इनशाल्लाह, i n sh aa l l aa h
इनसान, i n s aa n
इनसानियत, i n s aa n i y a t
इनसानी, i n s aa n ii
इनसाफ़, i n s aa f
इनसाफी़, i n s aa f ii
इनहिसार, i n h i s aa r
इनाम, i n aa m
इनामी, i n aa m ii
इनायत, i n aa y a t
इनायती, i n aa y @ t ii
इनार, i n aa r
-इनी, - i n ii
इन्कार, i n k aa r
इफ़रात, i f r aa t
इबरत, i b r a t
इबरानी, i b r aa n ii
इबलीस, i b l ii s
इबादत, i b aa d a t
इबारत, i b aa r a t
इब्तिदा, i b t i d aa
इब्तिदाई, i b t i d aa ii
इब्रानी, i b r aa n ii
इभ, i bh
इम, i m
इमकान, i m k aa n
इमदाद, i m d aa d
इमदादी, i m d aa d ii
इमरती, i m a r t ii
इमला, i m l aa
इमली, i m l ii
इमाम, i m aa m
इमामत, i m aa m a t
इमामदस्ता, i m aa m - d a s t aa
इमामा, i m aa m aa
इमारत, i m aa r a t
इमारत, i m aa r a t
इमारती, i m aa r @ t ii
इमि, i m i
इम्तहान, i m t a h aa n
इम्तियाज़, i m t i y aa z
इम्तिहान, i m t i h aa n
-इयत, - i y a t
इयत्ता, i y a t t aa
-इया, - i y aa
इरशाद, i r sh aa d
इरसाल, i r s aa l
इरसी, i r s ii
इराक़ी, i r aa q ii
इरादतन, i r aa d a t a n
इरादा, i r aa d aa
इर्द-गिर्द, i r d - g i r d
इलज़ाम, i l z aa m
इलाका़, i l aa q aa
इलाज, i l aa j
इलायची, i l aa y c ii
इलाही, i l aa h ii
इल्तमास, i l t a m aa s
इल्तिजा, i l t i j aa
इल्तिफ़ात, i l t i f aa t
इल्म, i l m
इल्मी, i l m ii
इल्लत, i l l a t
इल्ला, i l l aa
इल्ली, i l l ii
-इश, - i sh
इशरत, i sh r a t
इशारत, i sh aa r a t
इशारा, i sh aa r aa
इश्क़, i sh q
इश्क़िया, i sh q i y aa
इश्की़, i sh q ii
इश्तआल, i sh t a aa l
इश्तहार, i sh t a h aa r
इश्तहारी, i sh t a h aa r ii
इषा, i sh aa
इष्ट, i sh tt
इष्टका, i sh tt a k aa
इष्टता, i sh tt @ t aa
इष्टि, i sh tt i
इस, i s
इसपरमूल, i s p a r m uu l
इसपात, i s p aa t
इसबगो़ल, i s b a Gh o l
इसमाईली, i s m aa ii l ii
इसमाईली, i s r aa ii l ii
इसराज, i s r aa j
इसराफ़, i s r aa f
इसरार, i s r aa r
इसलाम, i s l aa m
इसलामी, i s l aa m ii
इसलाह, i s l aa h
इसी, i s ii
इस्टंट, i s tt a n tt
इस्टाम, i s tt aa m
इस्टेशन, i s tt e sh a n
इस्तक़बाल, i s t a q b aa l
इस्तगा़सा, i s t a Gh aa s aa
इस्तदुआ, i s t a d u aa
इस्तरी, i s t r ii
इस्तिंजा, i s t i n aa
इस्ति़क़बाल, i s t i q b aa l
इस्तिरी, i s t i r ii
इस्तिलाह, i s t i l aa h
इस्तिसनाई, i s t i s n aa ii
इस्तिस्नाय, i s t i s n aa y
इस्तीफा़, i s t ii f aa
इस्तेदाद, i s t e d aa d
इस्तेमाल, i s t e m aa l
इस्तेमाली, i s t e m aa l ii
इस्पात, i s p aa t
इस्पाती, i s p aa t ii
इस्म, i s m
इस्लाम, i s l aa m
इस्लामी, i s l aa m ii
इह, i h
इह, i h
इहलौकिक, i h l O k i k
इहाँ, i h aa ~
इहि, i h i
इहै, i h E
ई, ii
ईगुर, ii ng g u r
इंघे, i ng gh e
ईट, ii n tt
ईटा, ii n tt aa
ईटाया, ii n tt aa y aa
ईडुआ, ii n dd u aa
ईडुरी, ii n dd u r ii
ईदुर, ii n d u r
ईधन, ii n dh a n
-ई, - ii
-ईकरण, - ii - k a r a n
-ईकृत, - ii - k r i t
ईक्षण, ii k sh a n
ईक्षणिक, ii k sh a n i k
ईख, ii kh
-ईचा, - ii c aa
ईजा़, ii z aa
ईजाद, ii j aa d
ईज़ाद, ii z aa d
ईजादी, ii j aa d ii
ईठ, ii tth
ईठि, ii tth i
ईठी, ii tth ii
ईति, ii t i
ईद, ii d
ईदी, ii d ii
ईदुज़्ज़ोहा, ii d u z z o h aa
ईदुलफ़ितर, ii d u l f i t r
ईदृश, ii d r i sh
-ईन, - ii n
ईप्सित, ii p s i t
ईफ़ाय, ii f aa y
-ईभूत, - ii - bh uu t
ईमान, ii m aa n
ईमानी, ii m aa n ii
-ईय, - ii y @
ईरान, ii r aa n
ईरानी, ii r aa n ii
ईरानी, ii r aa n ii
ईर्षा, ii r sh aa
ईर्ष्या, ii r sh y aa
ईर्ष्यालु, ii r sh y aa l u
-ईला, - ii l aa
ईश, ii sh
ईशता, ii sh @ t aa
ईशत्व, ii sh a t v @
ईशना, ii sh @ n aa
ईशा, ii sh aa
ईशान, ii sh aa n
ईशिता, ii sh i t aa
ईशित्व, ii sh i t v @
ईश्वर, ii sh v a r
ईश्वरता, ii sh v a r @ t aa
ईश्वरत्व, ii sh v a r @ t v @
ईश्वरी, ii sh v @ r ii
ईश्वरीय, ii sh v @ r ii y @
ईषत्, ii sh a t
ईषद्, ii sh a d
ईषद-, ii sh a d -
ईसर, ii s a r
ईसवी, ii s v ii
ईसा, ii s aa
ईसाई, ii s aa ii
ईसार, ii s aa r
ईस्वी, ii s v ii
ईहाँ, ii h aa ~
ईहा, ii h aa
ईहित, ii h i t
उ, u
उँ, u ~
उँकारी, u ~ k aa r ii
उँगनी, u ng g n ii
उँगली, u ng g l ii
उँघाई, u ng gh aa ii
उँघाना, u ng gh aa n aa
उँघास, u ng gh aa s
उँचान, u n c aa n
उँचाना, u n c aa n aa
उँचाव, u n c aa v
उँचास, u n c aa s
उँचाहट, u n c aa h a tt
उँजरी, u n j r ii
उँजाला, u n j aa l aa
उँजियार, u n j i y aa r
उँजियारा, u n j i y aa r aa
उँजेला, u n j e l aa
उँडलना, u n dd a l n aa
उँड़ेलना, u ~ rr e l n aa
उऋण, u r i n
उकटना, u k a tt n aa
उकटवाना, u k a tt v aa n aa
उकड़ूँ, u k rr uu ~
उकड़ू, u k rr uu
उकताना, u k t aa n aa
उकतारना, u k t aa r n aa
उकतारू, u k t aa r uu
उकताहट, u k t aa h a tt
उकलना, u k a l n aa
उकलाना, u k l aa n aa
उकवाँ, u k v aa ~
उकसना, u k a s n aa
उकसवाना, u k a s v aa n aa
उकसाई, u k s aa ii
उकसाना, u k s aa n aa
उकसाव, u k s aa v
उकसावा, u k s aa v aa
उकसाहट, u k s aa h a tt
उकेरना, u k e r n aa
उकेलना, u k e l n aa
उक्त, u k t
उक्ति, u k t i
उखट-, u kh a tt -
उखटना, u kh a tt n aa
उखड़ना, u kh a rr n aa
उखड़वाना, u kh a rr v aa n aa
उखड़ाना, u kh rr aa n aa
उखल, u kh a l
उखलीं, u kh l ii
उखाड़, u kh aa rr
उखाड़ना, u kh aa rr n aa
उखाडी़, u kh aa rr ii
उखाड़ू, u kh aa rr uu
उखेड़, u kh e rr
उखेड़ना, u kh e rr n aa
उगटना, u g a tt n aa
उगत, u g a t
उगना, u g n aa
उगलना, u g a l n aa
उगलवाना, u g a l v aa n aa
उगहना, u g a h n aa
उगाई, u g aa ii
उगाना, u g aa n aa
उगारना, u g aa r n aa
उगाल, u g aa l
उगालना, u g aa l n aa
उगाला, u g aa l aa
उगाहना, u g aa h n aa
उगाही, u g aa h ii
उग्र, u g r @
उग्रता, u g r @ t aa
उग्रह, u g r a h
उघड़ना, u gh a rr n aa
उघाड़ना, u gh aa rr n aa
उचकन, u c k a n
उचकना, u c a k n aa
उचकाना, u c k aa n aa
उचक्का, u c a k k aa
उचक्कापन, u c a k k aa p a n
उचक्कापना, u c a k k aa p @ n aa
उचटना, u c a tt n aa
उचटाना, u c tt aa n aa
उचड़ना, u c a rr n aa
उचरंग, u c r a ng g
उचर-, u c a r -
उचलना, u c a l n aa
उचलाना, u c l aa n aa
उचा-, u c aa -
उचाट, u c aa tt
उचाटना, u c aa tt n aa
उचाड़ना, u c aa rr n aa
उचापत, u c aa p a t
उचापति, u c aa p t i
उचार, u c aa r
उचार-, u c aa r -
उचारना, u c aa r n aa
उचावा, u c aa v aa
उचित, u c i t
उचितता, u c i t @ t aa
उचेलना, u c e l n aa
उच्च, u c c
उच्चत, u c c a t
उच्चता, u c c @ t aa
उच्चर-, u c - c a r -
उच्चरित, u c - c a r i t
उच्चाटन, u c c aa tt a n
उच्चान, u c c aa n
उच्चार, u c - c aa r
उच्चारण, u c - c aa r a n
उच्चारणीय, u c - c aa r @ n ii y @
उच्चारना, u c - c aa r n aa
उच्चारित, u c - c aa r i t
उच्चार्य, u c - c aa r y @
उच्चैः, u c c E h
उच्छिन्न, u c - ch i n n
उच्छिष्ट, u c - ch i sh tt
उच्छू, u c ch uu
उच्छृंखलता, u c - ch r i ~ kh a l @ t aa
उच्छेदन, u c - ch e d a n
उच्छ्वास, u c - ch v aa s
उछंग, u ch a ng g
उछटना, u ch a tt n aa
उछळ-कूद, u ch a l - k uu d
उछलना, u ch a l n aa
उछलाना, u ch l aa n aa
उछाल, u ch aa l
उछालना, u ch aa l n aa
उछाह, u ch aa h
उजड़ना, u j a rr n aa
उजड़वाना, u j a rr v aa n aa
उजड्ड, u j a dd dd
उजड्डपन, u j a dd dd p a n
उजरत, u j r a t
उजला, u j l aa
उजलाई, u j l aa ii
उजलाना, u j l aa n aa
उजलापन, u j l aa p a n
उजवाना, u j v aa n aa
उजागर, u j aa g a r
उजाड़, u j aa rr
उजाड़ना, u j aa rr n aa
उजाड़ू, u j aa rr uu
उजान, u j aa n
उजालना, u j aa l n aa
उजाला, u j aa l aa
उजास, u j aa s
उजियार, u j i y aa r
उजियारा, u j i y aa r aa
उजियारिया, u j i y aa r i y aa
उजियाला, u j i y aa l aa
उजियाली, u j i y aa l ii
उजुबा, u j uu b aa
उजेला, u j e l aa
उज्जल, u j j a l
उज्जागरी, u j j aa g @ r ii
उज्ज्वल, u j - j v a l
उज्ज्वलता, u j - j v a l @ t aa
उज्ज्वलन, u j - j v a l a n
उज्ज्वलित, u j - j v a l i t
उज़्र, u z r
उझकना, u jh a k n aa
उझर-, u jh a r -
उझर-, u jh a r -
उझलना, u jh a l n aa
उझालना, u jh aa l n aa
उझिलना, u jh i l n aa
उझेल, u jh e l
उझेलना, u jh e l n aa
उटंगन, u tt a ng g a n
उटंग, u tt a ng g
उटक-, u tt a k -
उटक्कर-लैस, u tt a k k a r - l E s
उटज, u tt a j
उट्ठक-बैठक, u tt tth a k - b E tth a k
उठँगन, u tth a ng g a n
उठँगना, u tth a ng g n aa
उठंगल, u tth a ng g a l
उठगन, u tth g a n
उठना, u tth n aa
उठ-बैठ, u tth - b E tth
उठल्लू, u tth a l l uu
उठवाना, u tth v aa n aa
उठवैया, u tth v E y aa
उठाईगीर, u tth aa ii g ii r
उठाईगीरा, u tth aa ii g ii r aa
उठाऊ, u tth aa uu
उठान, u tth aa n
उठाना, u tth aa n aa
उठा-बैठी, u tth aa - b E tth ii
उठाव, u tth aa v
उठावनी, u tth aa v n ii
उठौनी, u tth O n ii
उड़ंत, u rr a n t
उड़का, u rr k aa
उड़द, u rr a d
उड़न, u rr a n
उड़ना, u rr n aa
उड़प, u rr a p
उड़सना, u rr a s n aa
उड़ाऊ, u rr aa uu
उड़ाक, u rr aa k
उड़ाका, u rr aa k aa
उड़ाकू, u rr aa k uu
उड़ान, u rr aa n
उड़ाना, u rr aa n aa
उड़िया, u rr i y aa
उड़ीसा, u rr ii s aa
उड़ीक, u rr ii k
उड़ुप, u rr u p
उड़ुप, u rr u p
उड़ेख, u rr e kh
उड़ेलना, u rr e l n aa
उडे़लवाना, u rr e l v aa n aa
उढ़क, u rrh a k
उढ़कन, u rrh k a n
उढ़कना, u rrh a k n aa
उढ़काना, u rrh k aa n aa
उढ़री, u rrh r ii
उढ़ाना, u rrh aa n aa
उढ़ावनि, u rrh aa v n i
उढ़ीक, u rrh ii k
उत, u t
