punjabi,phon
ਧੌਂਸਯਾ,dh O ng s y aa
ਧੌਰਾ,dh O r aa
ਧਾਵਾ,dh aa v aa
ਢਵਾਈ,ddh a v aa ii
ਢਾਵਾਂ,ddh aa v aa ng
ਧਵਾਂਹ,dh a v aa ng h
ਧਾਵਤ,dh aa v a t
ਢਵਾਉਣਾ,ddh a v aa u nn aa
ਢਾਵੀ,ddh aa v ii
ਧਾਵੀ,dh aa v ii
ਢੇਡ,ddh e dd
ਢੇਢੀ,ddh e ddh ii
ਢੇਡੂ,ddh e dd uu
ਧੇਕ,dh e k
ਢੇਕਾ,ddh e k aa
ਢੇੱਕਾ,ddh e k k aa
ਢੇਕਬਜੂਦ,ddh e k b a j uu d
ਢੇਕਵਜੂਦ,ddh e k v a j uu d
ਢੇਕਚਾਲ,ddh e k c aa l
ਢੇਕਪੁਣਾ,ddh e k p u nn aa
ਧੇਲਾ,dh e l aa
ਢੇਲਾ,ddh e l aa
ਢੇਲਰ,ddh e l a r
ਧੇਲੀ,dh e l ii
ਢੇਮ੍ਹ,ddh e m h
ਧੇਣ,dh e nn
ਢੇਂਢਾ,ddh e ng ddh aa
ਧੇਟਵਾਂ,dh e nn v aa ng
ਢੇਰੋ,ddh e r
ਢੇਰਾ,ddh e r aa
ਢੇਰੀ,ddh e ii
ਢੇਰਣੀ,ddh e r nn ii
ਢੇਰੂ,ddh e r uu
ਢੇਸੂ,ddh e s uu
ਧੇਤਾ,dh e t aa
ਢੇਠ,ddh e tth
ਢੇਠਾ,ddh e tth aa
ਧੇਉਣਾ,dh e u nn aa
ਧੀ,dh ii
ਧੀਆ,dh ii aa
ਧਿਆ,dh i aa
ਢੀਆ,ddh ii aa
ਧਿਆਹਣ,dh i aa h a nn
ਧਿਆਹਣੀ,dh i aa h nn ii
ਧਿਆਣ,dh i aa nn
ਧਿਆਨ,dh i aa n
ਧਿਆਣਾ,dh i aa nn aa
ਧਿਆਨਣਾ,dh i aa n a nn aa
ਧਿਆਣੀ,dh i aa nn ii
ਧਿਆੱਨੀ,dh i aa n n ii
ਧਿਅੱਤਾ,dh i a t t aa
ਧੀਅੱਤਾ,dh ii a t t aa
ਧਿਆਉ,dh i aa u
ਧਿਆਉਣਾ,dh i aa u nn aa
ਢਿੱਬਾ,ddh i b b aa
ਢਿੱਡ,ddh i dd dd
ਢਿੱਢ,ddh i dd ddh
ਢਿੱਡਲ,ddh i dd dd a l
ਧਿੱਦਣ,dh i d d a nn
ਢਿੱਡੀ,ddh i dd dd ii
ਧੀਦੋ,dh ii d o
ਢਿਗ,ddh i g
ਧਿਗਾਣਾ,dh i g aa nn aa
ਧਿਗਾਣੇ,dh i g aa nn e
ਢਿਗਾਰਾ,ddh i g aa r aa
ਢਿੱਗ,ddh i g g
ਢੀਹਾ,ddh ii h aa
ਧਿਹਾਲੂ,dh i h aa l uu
ਧਿੱਹਤਾ,dh i h a t t aa
ਧਿਜਾ,dh i j aa
ਧਿਜਾਉ,dh i j aa u
ਧਿਜਾਉਣਾ,dh i j aa u nn aa
ਧਿਜਣਾ,dh i j nn aa
ਢਿਕਣ,ddh i k a nn
ਧਿੱਕਾ,dh i k k aa
ਧਿੱਕਾਰ,dh i k k aa r
ਧਿੱਕਾਰਣ,dh i k k aa r a nn
ਧਿੱਕਾਰੀ,dh i k k aa r ii
ਧਿੱਕਾਰਣਾ,dh i k k aa r nn aa
ਢਿਲਕਣਾ,ddh i l a k nn aa
ਢਿਲਕਾਉਣਾ,ddh i l k aa u nn aa
ਢਿੱਲ,ddh i l l
ਢਿੱਲਾ,ddh i l l aa
ਢਿੱਲਡ਼,ddh i l l a rr
ਢਿੱਲੀ,ddh i l l ii
ਢਿੱਲ੍ਹੋਂ,ddh i l l h o ng
ਢਿੱਲੋਂ,ddh i l l o ng
ਢੀਮ,ddh ii m
ਢੀਮਾ,ddh ii m aa
ਢੀਮ੍ਹ,ddh ii m h
ਧੀਮਾ,dh ii m aa
ਧੀਮੀ,dh ii m ii
ਢਿਮਢਿਮੀ,ddh i m ii
ਢਿਮਕਾ,ddh i m k aa
ਢਿਮਕਡ਼ਾ,ddh i m k a rr aa
ਢੀਂਡਾ,ddh ii ng dd aa
ਧੀਂਗ,dh ii ng g
ਢੀਂਗ,ddh ii ng g
ਧਿੰਗ,dh i ng g
ਧੀਂਗ,dh ii ng g
ਢੀਂਗਰ,ddh ii ng g a r
ਢੀਂਗਰੀ,ddh ii ng g a r ii
ਢਿੰਗਰ,ddh i ng g g a r
ਢਿੰਗਰੀ,ddh i ng g g a r ii
ਢੀਂਗੁਲੀ,ddh ii ng g u l ii
ਢੀਂਗਲੀ,ddh ii ng g a l ii
ਢਿੱਨਣ,ddh i n n a nn
ਧੀਣਵਾਂ,dh ii nn v aa ng
ਧਿਰ,dh i r
ਧੀਡ਼,dh ii rr
ਧੀਰ,dh ii r
ਧੀਰ,dh ii r
ਧੀਰਜ,dh ii r a j
ਧੀਰਾ,dh ii r aa
ਧੀਰਜੀ,dh ii r a j ii
ਢਿਰਕ,ddh i r a k
ਧੀਰੇ,dh ii r e
ਧੀਰੀ,dh ii r ii
ਧਿਰਿਗ,dh i r i g
ਧਿਰਿਘ,dh i r i gh
ਧੀਡ਼ਨਾ,dh ii rr n aa
ਧਿਡ਼ਵਾਈ,dh i rr v aa ii
ਧਿਰਵਾਸ,dh i r v aa s
ਧਿਡ਼ਵਾਉਣਾ,dh i rr v aa u nn aa
ਢਿਠ,ddh i tth
ਢੀਠ,ddh ii tth
ਢੀਠਾ,ddh ii tth aa
ਢਿਠਾਈ,ddh i tth aa ii
ਧਿਤਕਾਰ,dh i t k aa r
ਧਿਉਣਾ,dh i u nn aa
ਢਿਵਾ,ddh i v aa
ਧੋ,dh o
ਢੋ,ddh o
ਢੋਆ,ddh o aa
ਧੋਬਾ,dh o b aa
ਦੋਬੀ,dh o b ii
ਧੋਬਣ,dh o b a nn
ਢੋਡਾ,ddh o dd aa
ਢੋਢਾ,ddh o ddh aa
ਧੋਹ,dh o h
ਢੋਹ,ddh o h
ਧੋਹਾ,dh o h aa
ਧੋਹਣ,dh o h a nn
ਦੋਹੀ,dh o h ii
ਢੋਹਣ,ddh o h a nn
ਢੋਹਣਾ,ddh o h nn aa
ਢੋਈ,ddh o ii
ਧੋਈ,dh o ii
ਧੋਖਣਾ,dh o kh a nn aa
ਧੋੱਖਾ,dh o k kh aa
ਧੋਲ,dh o l
ਢੋਲ,ddh o l
ਢੋਲਕ,ddh o l a k
ਢੋਲਕੀ,ddh o l a k ii
ਢੋਲਕੀ,ddh o l k ii
ਢੋਲਣ,ddh o l a nn
ਢੋਲਣਾ,ddh o l a nn aa
ਢੋਲਚੀ,ddh o l c ii
ਢੋਲੀਆ,ddh o l ii aa
ਢੋਲਕੀ,ddh o l k ii
ਢੋਲਕੀਆ,ddh o l k ii aa
ਢੋਲੀ,ddh o l ii
ਢੋੱਲਾ,ddh o l l aa
ਢੋਲਣਾ,ddh o l nn aa
ਧੋਮਾਉਣਾ,dh o m aa u nn aa
ਧੋਣ,dh o nn
ਧੋਨ,dh o n
ਢੋਣਾ,ddh o nn aa
ਧੋਣਾ,dh o nn aa
ਧੋਂਦ,dh o ng d
ਢੋਂਗ,ddh o ng g
ਢੋਂਗੀ,ddh o ng g ii
ਧੋਨਿਤਰ,dh o n i t a r
ਧੋਪਣ,dh o p a nn
ਧੋੱਪਾ,dh o p p aa
ਧੋਰ,dh o r
ਧੋਡ਼,dh o rr
ਧੋਡ਼ਾ,dh o rr aa
ਢੋਰ,ddh o r
ਧੋਰਾ,dh o r aa
ਢੋਰਾ,ddh o r aa
ਢੋਰੀ,ddh o r ii
ਧੋਰੇ,dh o r e
ਧੋਰੀ,dh o r ii
ਧੋਰਯਾ,dh o r y aa
ਧੋਰਮਾ,dh o r m aa
ਧੋਤਰ,dh o t a r
ਧੋੱਤੀ,dh o t t ii
ਧੋਵਾਰ,dh o v aa r
ਧੋਯਾਰੀ,dh o y aa r ii
ਧੂ,dh uu
ਢੂਆ,ddh uu aa
ਧੁਆਹਾਂ,dh u aa h aa ng
ਧੁਆਈ,dh u aa ii
ਢੁਆਈ,ddh u aa ii
ਧੂਆਂ,dh uu aa ng
ਧੁਆਂਖਣਾ,dh u aa ng kh nn aa
ਧੁਆਂਸ,dh u aa ng s
ਧੁਆਉਟ,dh u aa u nn aa
ਧੁਬੱਲੀ,dh u aa u tt
ਢੁਬੱਲੀ,dh u b b a l ii
ਢੁੱਚਰ,ddh u c c a r
ਧੁਦੱਲ,dh u d d a l
ਧੁਦੱਰ,dh u d d a r
ਢੁਢ,ddh u ddh
ਢੁ਼ਡ,ddh u dd
ਧੂਧੂ,dh uu
ਧੂਦੀ,dh uu d ii
ਧੂਹ,dh uu h
ਢੂਹਾ,ddh uu h aa
ਢੂਹੀ,ddh uu h ii
ਢੂਈ,ddh uu ii
ਧੂਹੇਜਾਣਾ,j aa nn aa
ਧੂਹਣਾ,dh uu h nn aa
ਧੂਈਂ,dh uu ii nn
ਧੁੱਜ,dh u j j
ਢੁਕਾ,ddh u k aa
ਢੁਕਾਓ,ddh u k aa u
ਢੁਕਣ,ddh u k a nn
ਢੁਕਾਉਣਾ,ddh u k aa u nn aa
ਧੁਕਧੁਕਾ,dh u k aa
ਧੁਕਧੁਕੀ,dh u k ii
ਧੁਖ,dh u kh
ਧੂਖ,dh uu kh
ਧੂਖਡ਼,dh uu kh a rr
ਧੁਖਾਉਣਾ,dh u kh aa u nn aa
ਧੁਖਧੁਖਾ,dh u kh aa
ਧੁਖਧੁਖੀ,dh u kh ii
ਧੁਖਣਾ,dh u kh nn aa
ਢੁੱਕਜਾਣਾ,j aa nn aa
ਢੁੱਕਣਾ,ddh u k k nn aa
ਢੁੱਕਪੈਣਾ,ddh u k k p E nn aa
ਧੁਲਾਈ,dh u l aa ii
ਢੁਲਾਈ,ddh u l aa ii
ਢੁਲਕਣਾ,ddh u l a k nn aa
ਧੁਲਾਊ,dh u l aa uu
ਧੁਲਾਉਣਾ,dh u l aa u nn aa
ਢੁਲਾਉਣਾ,ddh u l aa u nn aa
ਧੁਲਾਉਟ,dh u l aa u tt
ਧੁਲਾਵਟ,dh u l aa v a tt
ਧੁਲਧੁਲੀ,dh u l dh u l ii
ਢੁਲਕਾਉਣਾ,ddh u l k aa u nn aa
ਢੁਲਮੁਲਅਕੀਨ,ddh u l m u l a k ii n
ਢੁਲਨਾ,ddh u l n aa
ਢੁਲਵਾਈ,ddh u l v aa ii
ਧੁਲਵਾਈ,dh u l v aa ii
ਧੁਲਵਾਉਣਾ,dh u l v aa u nn aa
ਢੁਲਵਾਉਣਾ,ddh u l v aa u nn aa
ਧੂਮ,dh uu m
ਧੂਮੀ,dh uu m ii
ਧੁੱਮ,dh u m m
ਧੁਣ,dh u nn
ਧੁਨ,dh u n
ਧੂੰ,dh uu ng
ਢੂੰ,ddh uu ng
ਧੂਣਾ,dh uu nn aa
ਧੂਨਾ,dh uu n aa
ਧੁਣਖਣਾ,dh u nn a kh nn aa
ਧੁਣਕਣਾ,dh u nn a k nn aa
ਧੁੰਦ,dh u ng d
ਢੂੰਡ,ddh uu ng dd
ਢੁੰਡਾਈ,ddh u ng dd aa ii
ਢੂੰਢਤ,ddh uu ng dd a ng t
ਢੁੰਡਰ,ddh u ng dd a r
ਢੁੰਭਰੀ,ddh u ng dd a r ii
ਢੁੰਡਾਊ,ddh u ng dd aa uu
ਢੁੰਡਾਉਲਾ,ddh u ng dd aa u l aa
ਢੰਡਾਉਣਾ,ddh u ng dd aa u nn aa
ਢੂੰਢ,ddh uu ng ddh
ਢੂੰਢਣਾ,ddh uu ng ddh nn aa
ਢੂੰਡਣਾ,ddh uu ng dd nn aa
ਧੁੰਦਲਾ,dh u ng d l aa
ਧੁੰਦੁਕਾਰ,dh u ng d u k aa r
ਧੁੰਦੂਕਾਰ,dh u ng d uu k aa r
ਢੁੰਗਨਾ,ddh u ng g a n aa
ਢੁੰਗਾਰ,ddh u ng g aa r
ਧੁੰਗਾਰ,dh u ng g aa r
ਢੁੰਗਾਰਨਾ,ddh u ng g aa r n aa
ਧੁੰਗਾਰਨਾ,dh u ng g aa r n aa
ਧੂਣੀ,dh uu nn ii
ਧੁਣਖਾਈ,dh u nn kh aa ii
ਧੁਣਖਾਉਣਾ,dh u nn kh aa u nn aa
ਧੁਣਖੀ,dh u nn kh ii
ਧੁਣਕੀ,dh u nn k ii
ਧੁੱਨ,dh u n n
ਧੁੰਨ,dh u n n
ਢੁੱਨਣੀ,ddh u n n a nn ii
ਧੁੱਨੀ,dh u n n ii
ਧੁੰਨੀ,dh u n n ii
ਧੂੱਨੂ,dh uu n n uu
ਧੁਨਪੈਨਾ,dh u n p E n aa
ਧੂਨੂ,dh uu n uu
ਧੁਣਯਾਂ,dh u nn y aa ng
ਧੂਪ,dh uu p
ਧੁਪਿਆਣੀ,dh u p i aa nn ii
ਧੂਪਨਾ,dh uu p n aa
ਧੁੱਪ,dh u p p
ਧੁਰ,dh u r
ਧੂਡ਼,dh uu r
ਧੂਰ,dh uu r
ਧੁਰਾ,dh u r aa
ਧੂਰਾ,dh uu r aa
ਧੂਡ਼ਾ,dh uu rr aa
ਧੁਰਾਈ,dh u r aa ii
ਧੁਡ਼ਕਾ,dh u rr a k nn aa
ਧੁਰੇਲ,dh u r e l
ਧੁਰੀ,dh u r ii
ਧੂਰੀ,dh uu r ii
ਧੁਡ਼ਕਾ,dh u rr k aa
ਧੁਡ਼ਕੀ,dh u rr k ii
ਧੁਡ਼ਕਣੀ,dh u rr k nn ii
ਢੁਰਕਣੀ,ddh u r k nn ii
ਧੁਡ਼ਕੂ,dh u rr k uu
ਧੁਰਨਾ,dh u r n aa
ਧੁਰੋਹ,dh u r o h
ਧੁਰੋਹੀ,dh u r o h ii
ਧੁਰੋਂ,dh u r o ng
ਧੁਰਰੇ,dh u r r e
ਧੁਰਪਦ,dh u r p a d
ਧੁਰਪਤ,dh u r p a t
ਧੁਸਾਉਣਾ,dh u s aa u nn aa
ਧੂਸਣਾ,dh uu s nn aa
ਧੁੱਸ,dh u s s
ਧੂਸ,dh uu s
ਧੁੱਸਾ,dh u s s aa
ਧੁਸੱਡ਼,dh u s s a rr
ਢੁਟਾ,ddh u tt aa
ਧੂਤਣੀ,dh uu t nn ii
ਢੁੱਟ,ddh u tt tt
ਧੂੱਤਾ,dh uu t t aa
ਧੂਤੂ,dh uu t uu
ਦੀ,d ii
ਦੀਆ,d ii aa
ਦਿਆਲ,d i aa l
ਦਿਆਂ,d i aa ng
ਦੀਆਂ,d ii aa ng
ਦਿਆਰ,d i aa r
ਦਿਬ,d i b
ਦਿੱਭ,d i b bh
ਡਿੱਬਾ,dd i b b aa
ਦਿੱਬਾ,d i b b aa
ਡਿੱਬੀ,dd i b b ii
ਡਿਬੀਯਾ,dd i b ii y aa
ਡਿਬਡਿਬੀ,dd i b dd i b ii
ਡਿਡ,dd i dd
ਦੀਦ,d ii d
ਦਿਦਾਰ,d i d aa r
ਦੀਦਾਰ,d ii d aa r
ਦਿਦਾਰੀ,d i d aa r ii
ਦੀੱਦਾ,d ii d d aa
ਦਿੱਦਨੀ,d i d d a n ii
ਡਿਢ,dd i ddh
ਦਿਦਰਿਆਨ,d i d r i aa n
ਦਿਦਰਿਆਰ,d i d r i aa r
ਦਿਗ,d i g
ਦੀਗਰ,d ii g a r
ਡਿਗਾਉਣਾ,dd i g aa u nn aa
ਦਿੱਗਾ,d i g g aa
ਡਿੱਗਣਾ,dd i g g nn aa
ਡਿੱਗਪੈਣਾ,d i g g p E nn aa
ਦਿਹ,d i h
ਦਿਹਲ,d i h a l
ਡਿਹਲਣਾ,dd i h a l nn aa
ਦਿਹਾਡ਼ਾ,d i h aa rr aa
ਡਿਹਾਡ਼ਾ,dd i h aa rr aa
ਦਿਹਾਡ਼ੀ,d i h aa rr ii
ਡਿਹਾਡ਼ੀ,dd i h aa rr ii
ਦਿਹਰਾ,d i h r aa
ਡਿਹਰਾ,dd i h r aa
ਡੀਕ,dd ii k
ਡਿਕਾਨੂ,dd i k aa n uu
ਡਿਕਡੋੱਲਾ,dd i k dd o l l aa
ਦਿਖਾਦੇਣਾ,d i kh aa d e nn aa
ਦਿਖਾਈ,d i kh aa ii
ਦਿਖਾਲਣਾ,d i kh aa l nn aa
ਦਿਖਲਾਦੇਣਾ,d i kh l aa d e nn aa
ਦਿਖਲਾਉਣਾ,d i kh l aa u nn aa
ਦਿਖਾਲੀ,d i kh aa l ii
ਦਿਖਾਊ,d i kh aa uu
ਦਿਖਾਉਣਾ,d i kh aa u nn aa
ਦਿਖਾਵਾ,d i kh aa v aa
ਦੀਖਿਆ,d ii kh i aa
ਦਿਖਲਾਈ,d i kh l aa ii
ਦਿਖਲਾਉਣਾ,d i kh l aa u nn aa
ਦਿਖਲਾਦੇਣਾ,d e nn aa
ਦਿਖਲਾਵਾ,d i kh l aa v aa
ਦਿਖਵੈਯਾ,d i kh v E y aa
ਦਿਖਵੱਯਾ,d i kh v a y y aa
ਦਿੱਕ,d i k k
ਦਿਕੱਤ,d i k k a t
ਦਿੱਕੀ,d i k k ii
ਡਿੱਕੋਡੋਲੇ,dd o l e
ਦਿਲ,d i l
ਡੀਲ,dd ii l
ਡੀਲਾ,dd ii l aa
ਦਿਲਾ,d i l aa
ਦੀਲਾ,d ii l aa
ਡੀਲਾ,dd ii l aa
ਦਿਲਾਸਡ਼ਾ,d i l aa s a rr aa
ਦਿਲਾੱਸਾ,d i l aa s s aa
ਦਿਲਾਉਣਾ,d i l aa u nn aa
ਦਿਲੌਰ,d i l O r
ਦਿਲਾਉਰ,d i l aa u r
ਦਿਲਾਵਰ,d i l aa v a r
ਦਿਲੌਰੀ,d i l O r ii
ਦਿਲਾਉਰੀ,d i l aa u r ii
ਦਿਲਾਵਰੀ,d i l aa v a r ii
ਡਿਲ੍ਹ,dd i l h
ਡਿਲ੍ਹਣਾ,dd i l h nn aa
ਦਿਲੀ,d i l ii
ਦਿੱਲਾ,d i l l aa
ਦਿੱਲੀ,d i l l ii
ਦਿਲਵੈਯਾ,d i l v E y aa
ਦਿਲਵੱਯਾ,d i l v a y y aa
ਦਿਲਵਾਉਣਾ,d i l v aa u nn aa
ਦਿਮਾਗ,d i m aa g
ਦਿਮਾਕ,d i m aa k
ਦੀਮਕ,d ii m a k
ਡਿੰਭ,dd i m bh
ਡਿੱਮਨ,dd i m m a n
ਦਿੱਮੁਕ,d i m m u k
ਦਿਮੂੱਸਾ,d i m uu s s aa
ਦਿਨ,d i n
ਦੀਣ,d ii nn
ਦੀਨਾਦਨਿਸਤ,d a n i s t
ਦਿੰਦਾੱਸਾ,d i ng d aa s s aa
ਡਿੰਗ,dd i ng g
ਡਿੰਗਾ,dd i ng g aa
ਦਿੰਗੇਰ,d i ng g e r
ਡਿੰਘ,dd i ng gh
ਡਿੰਗਰੀ,dd i ng g r ii
ਦਿੰਹ,d i ng h
ਦੀਣੀ,d ii nn ii
ਡਿੰਝ,dd i ng jh
ਦਿਨਸਾ,d i n s aa
ਦੀਓ,d ii o
ਦਿਪ,d i p
ਦੀਪ,d ii p
ਦੀਪਕ,d ii p a k
ਦੀਰਘ,d ii r a gh
ਦਿਰਾਣੀ,d i r aa nn ii
ਦਿਡ਼੍ਹ,d i rrh
ਦਿਡ਼੍ਹਤਾ,d i rrh t aa
ਦਿਡ਼੍ਹਕ,d i rrh a k
ਦਿਰਿਸਟ,d i r i s tt
ਦਿਰਿਸਟਾਂਤ,d i r i s tt aa ng t
ਦਿਸ,d i s
ਦਿਸਾ,d i s aa
ਦਿਸੰਤ੍ਰ,d i s a ng t a r
ਦਿਸੌਰ,d i s O r
ਦਿਸਾਉਰ,d i s aa u r
ਦਿਸਾਵਰ,d i s aa v a r
ਦਿਸੌਰੀ,d i s O r ii
ਦਿਸਾਉਰੀ,d i s aa u r ii
ਦਿਸਾਂਉਰੀ,d i s aa ng u r ii
ਦਿਸਾਵਰੀ,d i s aa v a r ii
ਦਿਸਾਂਵਰੀ,d i s aa ng v a r ii
ਦਿਸਾਉਣਾ,d i s aa u nn aa
ਦਿਸ਼ਾ,d i sh aa
ਦਿੱਸਣ,d i s s a nn
ਡਿਸੱਣ,dd i s s a nn
ਦਿੱਸਣਾ,d i s s nn aa
ਦਿਸਟ,d i s tt
ਡਿਸਟ,dd i s tt
ਦਿਸਟਾਂਤ,d i s tt aa ng t
ਦੀਉਡ਼ੀ,d ii u rr ii
ਦੀਉਟ,d ii u tt
ਦੀਵਾ,d ii v aa
ਡੀਵਾ,dd ii v aa
ਦਿਵਾਖਾ,d i v aa kh aa
ਦਿਵਾਖੀ,d i v aa kh ii
ਦਿਵਾਲ,d i v aa l
ਦਿਵਾਲਾ,d i v aa l aa
ਦਿਵਾਲੀ,d i v aa l ii
ਦਿਵਾਨ,d i v aa n
ਦੀਵਾਣ,d ii v aa nn
ਦਿਵਾਨਾ,d i v aa n aa
ਦਿਵਾਨੀ,d i v aa n ii
ਦੀਵਾਰ,d ii v aa r
ਦਿਵਾਰੀ,d i v aa r ii
ਦੀਵਟ,d ii v a tt
ਦਿਵਾਤ,d i v aa t
ਦਿਵਾਉਣਾ,d i v aa u nn aa
ਦੋ,d o
ਡੋ,dd o
ਦੋਆਬ,d o aa b
ਦੋਆਬਾ,d o aa b aa
ਦੋਆੱਬਾ,d o aa b b aa
ਦੋਆਬਣ,d o aa b a nn
ਦੋਅਕ,d o a k
ਡੋਅਕ,dd o a k
ਡੋਬ,dd o b
ਡੋੱਬਾ,dd o b b aa
ਡੋੱਬੂ,dd o b b uu
ਡੋਬਣਾ,dd o b nn aa
ਦੋਦ,d o d
ਦੋਦਾ,d o d aa
ਡੋਡਾ,dd o dd aa
ਡੋੱਡਾ,dd o dd dd aa
ਦੋਦਕ,d o d a k
ਦੋਧਕ,d o dh a k
ਦੋਦਲ,d o d a l
ਦੋਦਨ,d o d a n
ਡੋਡਰਕਾਨ,dd o dd a r k aa n
ਡੋਢ,dd o ddh
ਦੋਧਾ,d o dh aa
ਦੋਧੀ,d o dh ii
ਦੋਦੀਆ,d o d ii aa
ਦੋਦਰੂ,d o d r uu
ਦੋਦੂਰ,d o d uu r
ਡੋਗਾ,dd o g aa
ਦੋਗਲਾ,d o g a l aa
ਦੋਗਾਨਾ,d o g aa n aa
ਡੋਗਰ,dd o g a r
ਡੋਗਰਨੀ,dd o g a r n ii
ਦੋਘਡ਼,d o gh a rr
ਦੋਗੀ,d o g ii
ਦੋਗਲਾ,d o g l aa
ਡੋਗਰਾ,dd o g r aa
ਡੋਗਰੀ,dd o g r ii
ਡੋਹ,dd o h
ਦੋਹਾ,d o h aa
ਦੋਹਜ,d o h a j
ਦੋਹਾਂ,d o h aa ng
ਡੋਹਨ,dd o h a n
ਦੋਹਰ,d o h a r
ਦੋਹਾਸਮਾ,d o h aa s m aa
ਦੋਹਾਸਮਾਂ,d o h aa s m aa ng
ਦੋਹਤਬਹੂ,d o h a t b a h uu
ਦੋਹਤਜੁਆਈ,d o h a t j u aa ii
ਦੋਹਤਪੋਤ,d o h a t p o t
ਦੋਹਤਰਾ,d o h t r aa
ਦੋਹਤਰੀ,d o h a t r ii
ਦੋਹਤਵਾਣ,d o h a t v aa nn
ਡੋਹਾਵਾ,dd o h aa v aa
ਦੋਹੀ,d o h ii
ਦੋਹੀ,d o h ii
ਦੋਹੀਆ,d o h i aa
ਦੋਹੀਂ,d o h ii ng
ਦੋਹਿਰਾ,d o h i r aa
ਦੋਹਜੀ,d o h j ii
ਦੋਹਲਾ,d o h l aa
ਦੋਹਨਾ,d o h n aa
ਦੋਹਨੀ,d o h n ii
ਦੋਹਰਾ,d o h r aa
ਦੋਹਡ਼ਾ,d o h rr aa
ਦੋਹਰਾਉ,d o h r aa u
ਦੋਹਰੂ,d o h r uu
ਦੋਹਤਾ,d o h t aa
ਦੋਹਤ੍ਰਾ,d o h t r aa
ਦੋਹਤ੍ਰੀ,d o h t r ii
ਦੋਹਤੀ,d o h t ii
ਡੋਹੁਲਣਾ,dd o h u l n aa
ਦੋਹਯਾ,d o h y aa
ਡੌਈ,dd o ii
ਦੋਜਕ,d o j a k
ਦੋਜਖ,d o j a kh
ਦੋਜਕਣ,d o j a k a nn
ਦੋਜਖਣ,d o j a kh a nn
ਦੋਜਖੀ,d o j a kh ii
ਦੋਜਕੀ,d o j a k ii
ਦੋਝ,d o jh
ਦੋਝਣ,d o jh a nn
ਦੋਝੀ,d o jh ii
ਦੋਕ,d o k
ਡੋਕਾ,dd o k aa
ਦੋਖ,d o kh
ਦੋਖਣ,d o kh a nn
ਦੋਖੀ,d o kh ii
ਦੋਖਲਾ,d o kh l aa
ਦੋਖਣਾ,d o kh nn aa
ਦੋਕੀ,d o k ii
ਡੋਲ,dd o l
ਦੋਲ,d o l
ਡੋਲਾ,dd o l aa
ਦੋਲਾ,d o l aa
ਦੋਲਾਂਘ,d o l aa ng gh
ਡੋਲਾਂਘ,dd o l aa ng gh
ਡੋਲਚੀ,dd o l c ii
ਡੋਲੀ,dd o l ii
ਦੋਲੀ,d o l ii
ਡੋਲਨਾ,dd o l n aa
ਡੋਲਣਾ,dd o l nn aa
ਦੋਮ,d o m
ਡੋਮਡ਼ਾ,dd o m rr aa
ਦੋਂ,d o ng
ਦੋਨਾ,d o n aa
ਡੋਨਾ,dd o n aa
ਦੋਂਦਾੱ,d o ng d d aa
ਡੋਂਡਰੂ,dd o ng dd r uu
ਡੋਂਗਾ,dd o ng g aa
ਡੋਂਘਾ,dd o ng gh aa
ਡੋਂਘੀ,dd o ng gh ii
ਡੋਂਗੀ,dd o ng g ii
ਡੋੱਨਾ,dd o n n aa
ਦੋੱਨਾ,d o n n aa
ਦੋਨੋਂ,d o n o ng
ਡੋਰ,dd o r
ਦੋਰ,d o r
ਡੋਡ਼,dd o rr
ਡੋਡ਼ਾ,dd o rr aa
ਦੋਡ਼ਾ,d o rr aa
ਡੋਰਾ,dd o r aa
ਡੋਡ਼ਹਾ,dd o rrh aa
ਦੋਰੀ,d o r ii
ਡੋਰੀ,dd o r ii
ਡੋਰੀਆ,dd o r ii aa
ਦੋਸ,d o s
ਦੋਸਾੱਲਾ,d o s aa l l aa
ਦੋਸਣ,d o s a nn
ਦੋਸਾਂਦਾ,d o s aa ng d aa
ਦੇਸ਼ਾਂਦਾ,d o sh aa ng d aa
ਦੋਸ਼ਾੱਲਾ,d o sh aa l l aa
ਦੋਸੀ,d o s ii
ਦੋਸਣਾ,d o s nn aa
ਦੋਸਤ,d o s t
ਡੋਟਾ,dd o tt aa
ਦੋਤਹੀ,d o t a h ii
ਦੋਤਲੀ,d o t l ii
ਦੇਓ,d o u
ਦੋਵੇਂ,d o v e ng
ਦੋਯਕ,d o y a k
ਦੂ,d uu
ਦੁਆ,d u aa
ਦੂਆ,d uu aa
ਦੁਆਬ,d u aa b
ਦੁਆਬਾ,d u aa b aa
ਦੁਆਦਸੀ,d u aa d s ii
ਦੁਆਈ,d u aa ii
ਦੁਐਤ,d u E t
ਦੁਆਇਤ,d u aa i t
ਦੁਆਖਨਾ,d u aa kh n aa
ਦੁਆਲ,d u aa l
ਦੁਆਲਾ,d u aa l aa
ਦੁਆਲੇ,d u aa l e
ਦੁਆਲੀ,d u aa l ii
ਦੁਆਲੀਆ,d u aa l ii aa
ਦੁਆਲਯਾ,d u aa l y aa
ਦੁਆਂ,d u aa ng
ਦੁਆਣੀ,d u aa nn ii
ਦੁਅੱਨੀ,d u a n n ii
ਦੁਆਂਖ,d u aa ng kh
ਦੁਆਪਰ,d u aa p a r
ਦੁਆਰ,d u aa r
ਦੁਆਰੇ,d u aa r e
ਦੁਆਰਕਾ,d u aa r k aa
ਦੁਆਤ,d u aa t
